id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed,abstract_len_chars,abstract_len_words,categories_list,num_authors,has_doi,year
704.0047,Igor Grabec,T. Kosel and I. Grabec,"Intelligent location of simultaneously active acoustic emission sources:
  Part I","5 pages, 5 eps figures, uses IEEEtran.cls",,,,cs.NE cs.AI,,"The intelligent acoustic emission locator is described in Part I, while Part
II discusses blind source separation, time delay estimation and location of two
simultaneously active continuous acoustic emission sources.
  The location of acoustic emission on complicated aircraft frame structures is
a difficult problem of non-destructive testing. This article describes an
intelligent acoustic emission source locator. The intelligent locator comprises
a sensor antenna and a general regression neural network, which solves the
location problem based on learning from examples. Locator performance was
tested on different test specimens. Tests have shown that the accuracy of
location depends on sound velocity and attenuation in the specimen, the
dimensions of the tested area, and the properties of stored data. The location
accuracy achieved by the intelligent locator is comparable to that obtained by
the conventional triangulation method, while the applicability of the
intelligent locator is more general since analysis of sonic ray paths is
avoided. This is a promising method for non-destructive testing of aircraft
frame structures by the acoustic emission method.","[{'version': 'v1', 'created': 'Sun, 1 Apr 2007 13:06:50 GMT'}]",2009-09-29,"[['Kosel', 'T.', ''], ['Grabec', 'I.', '']]",1172,169,"['cs.NE', 'cs.AI']",1,0,2009
704.005,Igor Grabec,T. Kosel and I. Grabec,"Intelligent location of simultaneously active acoustic emission sources:
  Part II","5 pages, 7 eps figures, uses IEEEtran.cls",,,,cs.NE cs.AI,,"Part I describes an intelligent acoustic emission locator, while Part II
discusses blind source separation, time delay estimation and location of two
continuous acoustic emission sources.
  Acoustic emission (AE) analysis is used for characterization and location of
developing defects in materials. AE sources often generate a mixture of various
statistically independent signals. A difficult problem of AE analysis is
separation and characterization of signal components when the signals from
various sources and the mode of mixing are unknown. Recently, blind source
separation (BSS) by independent component analysis (ICA) has been used to solve
these problems. The purpose of this paper is to demonstrate the applicability
of ICA to locate two independent simultaneously active acoustic emission
sources on an aluminum band specimen. The method is promising for
non-destructive testing of aircraft frame structures by acoustic emission
analysis.","[{'version': 'v1', 'created': 'Sun, 1 Apr 2007 18:53:13 GMT'}]",2007-05-23,"[['Kosel', 'T.', ''], ['Grabec', 'I.', '']]",950,136,"['cs.NE', 'cs.AI']",1,0,2007
704.0304,Carlos Gershenson,Carlos Gershenson,The World as Evolving Information,"16 pages. Extended version, three more laws of information, two
  classifications, and discussion added. To be published (soon) in
  International Conference on Complex Systems 2007 Proceedings","Minai, A., Braha, D., and Bar-Yam, Y., eds. Unifying Themes in
  Complex Systems VII, pp. 100-115. Springer, Berlin Heidelberg, 2012",10.1007/978-3-642-18003-3_10,,cs.IT cs.AI math.IT q-bio.PE,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"This paper discusses the benefits of describing the world as information,
especially in the study of the evolution of life and cognition. Traditional
studies encounter problems because it is difficult to describe life and
cognition in terms of matter and energy, since their laws are valid only at the
physical scale. However, if matter and energy, as well as life and cognition,
are described in terms of information, evolution can be described consistently
as information becoming more complex.
  The paper presents eight tentative laws of information, valid at multiple
scales, which are generalizations of Darwinian, cybernetic, thermodynamic,
psychological, philosophical, and complexity principles. These are further used
to discuss the notions of life, cognition and their evolution.","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 02:08:48 GMT'}, {'version': 'v2', 'created': 'Thu, 30 Aug 2007 20:03:59 GMT'}, {'version': 'v3', 'created': 'Wed, 13 Oct 2010 19:49:16 GMT'}]",2013-04-05,"[['Gershenson', 'Carlos', '']]",790,116,"['cs.IT', 'cs.AI', 'math.IT', 'q-bio.PE']",1,1,2013
704.0671,Maxim Raginsky,Maxim Raginsky,Learning from compressed observations,"6 pages; submitted to the 2007 IEEE Information Theory Workshop (ITW
  2007)",,10.1109/ITW.2007.4313111,,cs.IT cs.LG math.IT,,"The problem of statistical learning is to construct a predictor of a random
variable $Y$ as a function of a related random variable $X$ on the basis of an
i.i.d. training sample from the joint distribution of $(X,Y)$. Allowable
predictors are drawn from some specified class, and the goal is to approach
asymptotically the performance (expected loss) of the best predictor in the
class. We consider the setting in which one has perfect observation of the
$X$-part of the sample, while the $Y$-part has to be communicated at some
finite bit rate. The encoding of the $Y$-values is allowed to depend on the
$X$-values. Under suitable regularity conditions on the admissible predictors,
the underlying family of probability distributions and the loss function, we
give an information-theoretic characterization of achievable predictor
performance in terms of conditional distortion-rate functions. The ideas are
illustrated on the example of nonparametric regression in Gaussian noise.","[{'version': 'v1', 'created': 'Thu, 5 Apr 2007 02:57:15 GMT'}]",2016-11-15,"[['Raginsky', 'Maxim', '']]",982,150,"['cs.IT', 'cs.LG', 'math.IT']",1,1,2016
704.0954,Jos\'e M. F. Moura,Soummya Kar and Jose M. F. Moura,"Sensor Networks with Random Links: Topology Design for Distributed
  Consensus",Submitted to IEEE Transactions,,10.1109/TSP.2008.920143,,cs.IT cs.LG math.IT,,"In a sensor network, in practice, the communication among sensors is subject
to:(1) errors or failures at random times; (3) costs; and(2) constraints since
sensors and networks operate under scarce resources, such as power, data rate,
or communication. The signal-to-noise ratio (SNR) is usually a main factor in
determining the probability of error (or of communication failure) in a link.
These probabilities are then a proxy for the SNR under which the links operate.
The paper studies the problem of designing the topology, i.e., assigning the
probabilities of reliable communication among sensors (or of link failures) to
maximize the rate of convergence of average consensus, when the link
communication costs are taken into account, and there is an overall
communication budget constraint. To consider this problem, we address a number
of preliminary issues: (1) model the network as a random topology; (2)
establish necessary and sufficient conditions for mean square sense (mss) and
almost sure (a.s.) convergence of average consensus when network links fail;
and, in particular, (3) show that a necessary and sufficient condition for both
mss and a.s. convergence is for the algebraic connectivity of the mean graph
describing the network topology to be strictly positive. With these results, we
formulate topology design, subject to random link failures and to a
communication cost constraint, as a constrained convex optimization problem to
which we apply semidefinite programming techniques. We show by an extensive
numerical study that the optimal design improves significantly the convergence
speed of the consensus algorithm and can achieve the asymptotic performance of
a non-random network at a fraction of the communication cost.","[{'version': 'v1', 'created': 'Fri, 6 Apr 2007 21:58:52 GMT'}]",2009-11-13,"[['Kar', 'Soummya', ''], ['Moura', 'Jose M. F.', '']]",1748,266,"['cs.IT', 'cs.LG', 'math.IT']",1,1,2009
704.0985,Mohd Abubakr,"Mohd Abubakr, R.M.Vinay",Architecture for Pseudo Acausal Evolvable Embedded Systems,"4 pages, 2 figures. Submitted to SASO 2007",,,,cs.NE cs.AI,,"Advances in semiconductor technology are contributing to the increasing
complexity in the design of embedded systems. Architectures with novel
techniques such as evolvable nature and autonomous behavior have engrossed lot
of attention. This paper demonstrates conceptually evolvable embedded systems
can be characterized basing on acausal nature. It is noted that in acausal
systems, future input needs to be known, here we make a mechanism such that the
system predicts the future inputs and exhibits pseudo acausal nature. An
embedded system that uses theoretical framework of acausality is proposed. Our
method aims at a novel architecture that features the hardware evolability and
autonomous behavior alongside pseudo acausality. Various aspects of this
architecture are discussed in detail along with the limitations.","[{'version': 'v1', 'created': 'Sat, 7 Apr 2007 13:40:49 GMT'}]",2007-05-23,"[['Abubakr', 'Mohd', ''], ['Vinay', 'R. M.', '']]",823,119,"['cs.NE', 'cs.AI']",2,0,2007
704.102,Gyorgy Ottucsak,"Andras Gyorgy, Tamas Linder, Gabor Lugosi, Gyorgy Ottucsak",The on-line shortest path problem under partial monitoring,35 pages,,,,cs.LG cs.SC,,"The on-line shortest path problem is considered under various models of
partial monitoring. Given a weighted directed acyclic graph whose edge weights
can change in an arbitrary (adversarial) way, a decision maker has to choose in
each round of a game a path between two distinguished vertices such that the
loss of the chosen path (defined as the sum of the weights of its composing
edges) be as small as possible. In a setting generalizing the multi-armed
bandit problem, after choosing a path, the decision maker learns only the
weights of those edges that belong to the chosen path. For this problem, an
algorithm is given whose average cumulative loss in n rounds exceeds that of
the best path, matched off-line to the entire sequence of the edge weights, by
a quantity that is proportional to 1/\sqrt{n} and depends only polynomially on
the number of edges of the graph. The algorithm can be implemented with linear
complexity in the number of rounds n and in the number of edges. An extension
to the so-called label efficient setting is also given, in which the decision
maker is informed about the weights of the edges corresponding to the chosen
path at a total of m << n time instances. Another extension is shown where the
decision maker competes against a time-varying path, a generalization of the
problem of tracking the best expert. A version of the multi-armed bandit
setting for shortest path is also discussed where the decision maker learns
only the total weight of the chosen path but not the weights of the individual
edges on the path. Applications to routing in packet switched networks along
with simulation results are also presented.","[{'version': 'v1', 'created': 'Sun, 8 Apr 2007 10:15:54 GMT'}]",2007-05-23,"[['Gyorgy', 'Andras', ''], ['Linder', 'Tamas', ''], ['Lugosi', 'Gabor', ''], ['Ottucsak', 'Gyorgy', '']]",1659,281,"['cs.LG', 'cs.SC']",4,0,2007
704.1028,Jianlin Cheng,Jianlin Cheng,A neural network approach to ordinal regression,8 pages,,,,cs.LG cs.AI cs.NE,,"Ordinal regression is an important type of learning, which has properties of
both classification and regression. Here we describe a simple and effective
approach to adapt a traditional neural network to learn ordinal categories. Our
approach is a generalization of the perceptron method for ordinal regression.
On several benchmark datasets, our method (NNRank) outperforms a neural network
classification method. Compared with the ordinal regression methods using
Gaussian processes and support vector machines, NNRank achieves comparable
performance. Moreover, NNRank has the advantages of traditional neural
networks: learning in both online and batch modes, handling very large training
datasets, and making rapid predictions. These features make NNRank a useful and
complementary tool for large-scale data processing tasks such as information
retrieval, web page ranking, collaborative filtering, and protein ranking in
Bioinformatics.","[{'version': 'v1', 'created': 'Sun, 8 Apr 2007 17:36:00 GMT'}]",2007-05-23,"[['Cheng', 'Jianlin', '']]",940,129,"['cs.LG', 'cs.AI', 'cs.NE']",1,0,2007
704.1274,Dev Rajnarayan,David H. Wolpert and Dev G. Rajnarayan,Parametric Learning and Monte Carlo Optimization,,,,,cs.LG,,"This paper uncovers and explores the close relationship between Monte Carlo
Optimization of a parametrized integral (MCO), Parametric machine-Learning
(PL), and `blackbox' or `oracle'-based optimization (BO). We make four
contributions. First, we prove that MCO is mathematically identical to a broad
class of PL problems. This identity potentially provides a new application
domain for all broadly applicable PL techniques: MCO. Second, we introduce
immediate sampling, a new version of the Probability Collectives (PC) algorithm
for blackbox optimization. Immediate sampling transforms the original BO
problem into an MCO problem. Accordingly, by combining these first two
contributions, we can apply all PL techniques to BO. In our third contribution
we validate this way of improving BO by demonstrating that cross-validation and
bagging improve immediate sampling. Finally, conventional MC and MCO procedures
ignore the relationship between the sample point locations and the associated
values of the integrand; only the values of the integrand at those locations
are considered. We demonstrate that one can exploit the sample location
information using PL techniques, for example by forming a fit of the sample
locations to the associated values of the integrand. This provides an
additional way to apply PL techniques to improve MCO.","[{'version': 'v1', 'created': 'Tue, 10 Apr 2007 17:01:07 GMT'}]",2011-11-09,"[['Wolpert', 'David H.', ''], ['Rajnarayan', 'Dev G.', '']]",1340,197,['cs.LG'],1,0,2011
704.1394,Tarik Had\v{z}i\'c,"Tarik Hadzic, Rune Moller Jensen, Henrik Reif Andersen",Calculating Valid Domains for BDD-Based Interactive Configuration,,,,,cs.AI,,"In these notes we formally describe the functionality of Calculating Valid
Domains from the BDD representing the solution space of valid configurations.
The formalization is largely based on the CLab configuration framework.","[{'version': 'v1', 'created': 'Wed, 11 Apr 2007 10:59:56 GMT'}]",2007-05-23,"[['Hadzic', 'Tarik', ''], ['Jensen', 'Rune Moller', ''], ['Andersen', 'Henrik Reif', '']]",224,32,['cs.AI'],3,0,2007
